Provider,IPv4,IPv6,PreviousIPv4,PreviousIPv6,IPv4Change%,IPv6Change%,Status,Source,Errors
aws,5350,1514,5354,1519,-0.07,-0.33,OK,official+cloud-ip-ranges+RIPEstat+RIPE RIS+RouteViews+IPVerse+RIPE routing-status,0
cloudflare,738,126,738,126,0.0,0.0,OK,official+cloud-ip-ranges+sw.ext.io+RIPEstat+RIPE RIS+RouteViews+IPVerse+RIPE routing-status,0
hetzner,3954,397,3954,397,0.0,0.0,OK,cloud-ip-ranges+RIPEstat+RIPE RIS+RouteViews+IPVerse+RIPE routing-status,0
ovh,2640,397,2639,397,0.04,0.0,OK,cloud-ip-ranges+RIPEstat+RIPE RIS+RouteViews+IPVerse+RIPE routing-status,0
akamai,356,252,352,252,1.14,0.0,OK,cloud-ip-ranges+RIPEstat+RIPE RIS+RouteViews+IPVerse+RIPE routing-status,0
digitalocean,232,14,232,14,0.0,0.0,OK,official+cloud-ip-ranges+RIPEstat+RIPE RIS+RouteViews+IPVerse+RIPE routing-status,0
microsoft,989,135,989,135,0.0,0.0,OK,cloud-ip-ranges+RIPEstat+RIPE RIS+RouteViews+IPVerse+RIPE routing-status,0
oracle,1206,324,1206,311,0.0,4.18,KEEP_OLD_PARTIAL,official+RIPEstat+RIPE RIS+RouteViews+IPVerse+RIPE routing-status,1
alibaba,667,197,667,197,0.0,0.0,OK,cloud-ip-ranges+RIPEstat+RIPE RIS+RouteViews+IPVerse+RIPE routing-status,0
cdn77,187,33,187,33,0.0,0.0,OK,RIPEstat+RIPE RIS+RouteViews+IPVerse+RIPE routing-status,0
fastly,48,41,48,41,0.0,0.0,OK,official+cloud-ip-ranges+RIPEstat+RIPE RIS+RouteViews+IPVerse,0
melbicom,99,18,99,18,0.0,0.0,OK,RIPEstat+RIPE RIS+RouteViews+IPVerse+RIPE routing-status,0
buyvm,23,27,23,27,0.0,0.0,OK,RIPEstat+RIPE RIS+RouteViews+IPVerse+RIPE routing-status,0
vultr,739,1563,739,1602,0.0,-2.43,OK,RIPEstat+RIPE RIS+RouteViews+IPVerse,0
contabo,250,2,250,2,0.0,0.0,OK,RIPEstat+RIPE RIS+RouteViews+IPVerse+RIPE routing-status,0
scaleway,11,1,11,1,0.0,0.0,OK,official+cloud-ip-ranges+RIPEstat+RIPE RIS+RouteViews+IPVerse+RIPE routing-status,0
gcore,527,224,527,224,0.0,0.0,FILTERED,official+cloud-ip-ranges+RIPEstat+RIPE RIS+RouteViews+IPVerse+RIPE routing-status,0
backblaze,5,1,5,1,0.0,0.0,OK,static+cloud-ip-ranges,0
telegram,8,4,8,4,0.0,0.0,OK,official+RIPEstat+RIPE RIS+RouteViews+IPVerse+RIPE routing-status,0
twitter,11,4,11,4,0.0,0.0,OK,RIPEstat+RIPE RIS+RouteViews+IPVerse+RIPE routing-status,0
