Updated: 2026-09-15 11:06:49 UTC
ALL IPv4: 11591
ALL IPv6: 4241
ALL ASN IPv4: 12472
ALL ASN IPv6: 5820

Provider,IPv4,IPv6,Source,Status,Errors,RejectedIPv4,RejectedIPv6
aws,5289,1492,official+RIPEstat,OK,0,0,0
cloudflare,641,115,official+RIPEstat,OK,0,0,0
hetzner,85,6,RIPEstat,OK,0,0,0
ovh,631,4,RIPEstat,OK,0,0,0
akamai,321,231,RIPEstat,OK,0,0,0
digitalocean,199,14,official+RIPEstat,OK,0,0,0
microsoft,937,95,RIPEstat,OK,0,0,0
oracle,1206,311,official+RIPEstat,OK,0,0,0
alibaba,627,183,RIPEstat,OK,0,0,0
cdn77,187,33,RIPEstat,OK,0,0,0
fastly,48,41,official+RIPEstat,OK,0,0,0
melbicom,99,18,RIPEstat,OK,0,0,0
buyvm,23,27,RIPEstat,OK,0,0,0
vultr,703,1454,RIPEstat,OK,0,0,0
contabo,250,2,RIPEstat,OK,0,0,0
scaleway,11,1,official+RIPEstat,OK,0,0,0
gcore,572,222,official+RIPEstat,OK,0,0,0
backblaze,5,1,static,OK,0,0,0
